mentionId	conceptId	similarityScore
68dc7f43	OBT:002133	0.468937
270741c2	OBT:002133	0.452377
2d47970a	OBT:002133	0.566161
38ede85d	OBT:000000	0.492487
710f4a91	OBT:002133	0.509305
135a2de7	OBT:000065	0.474185
7a60c431	OBT:000000	0.501110
bdb4bfe	OBT:000000	0.449696
6338a0ec	OBT:000953	0.412766
1ceefb02	OBT:000010	0.415423
4b5ca45b	OBT:000953	0.412766
2ee18aca	OBT:002133	0.376064
58ca3439	OBT:000065	0.509878
123fb86b	OBT:000065	0.418632
1fb81254	OBT:000010	0.553609
324cc34d	OBT:001804	0.443817
58c02b7f	OBT:000000	0.396128
41ef53a9	OBT:000065	0.476295
5a2c8199	OBT:000010	0.415423
7001e12f	OBT:002133	0.472166
2e93e779	OBT:000065	0.432228
7b7039ac	OBT:000056	0.570797
1eba2b8d	OBT:002307	0.535251
6e84faac	OBT:002133	0.543464
381a4407	OBT:000010	0.451337
6fff29f4	OBT:002133	0.376064
417cdc6c	OBT:002133	0.516263
209aefd1	OBT:002133	0.350503
3256cd5a	OBT:000065	0.574766
131c0796	OBT:000065	0.418748
6884cfca	OBT:000065	0.457941
749afabf	OBT:000953	0.412766
5fbbe7aa	OBT:000065	0.465291
41e67819	OBT:002115	0.450308
43549693	OBT:000065	0.551516
60d6d8d0	OBT:002307	0.535251
7973d55a	OBT:002133	0.350503
1b96f15e	OBT:002133	0.554171
6312c241	OBT:000065	0.485288
5188e170	OBT:002133	0.398705
76c08ef3	OBT:000010	0.415423
5ac4f417	OBT:000953	0.412766
3f7665c5	OBT:002133	0.411872
29770835	OBT:001804	0.443817
41f5e6ee	OBT:002307	0.499494
770ad1f0	OBT:000065	0.582785
48562206	OBT:000065	0.422284
49dc8842	OBT:000010	0.298357
49f5758f	OBT:000065	0.418277
6f4ccc8	OBT:000065	0.461365
628c2341	OBT:000065	0.457941
19f7179	OBT:000065	0.563135
1de8248f	OBT:002133	0.468937
797cfaa1	OBT:000065	0.503106
28b7afdb	OBT:000010	0.473646
da2dbd0	OBT:000010	0.451337
6ed99ce0	OBT:000056	0.576455
5ed84d6d	OBT:002187	0.285977
4d77a14d	OBT:000056	0.437171
10370297	OBT:000065	0.437544
255e9649	OBT:000010	0.579087
6330c0a2	OBT:000065	0.441046
6cf737db	OBT:000035	0.387361
20003af7	OBT:000065	0.568569
67d9abfb	OBT:000953	0.412766
b96fb73	OBT:000010	0.298357
385936f3	OBT:001804	0.443817
7384b234	OBT:000065	0.312467
1235086c	OBT:002133	0.411872
7a2256bb	OBT:002133	0.476062
5d5d8ca6	OBT:000056	0.570797
2f336e00	OBT:000010	0.566794
156329de	OBT:000065	0.369721
2ae032c4	OBT:000056	0.471720
548cc4ba	OBT:000010	0.558280
5c35a03b	OBT:002133	0.423728
289d98a	OBT:002307	0.506066
86e170e	OBT:002115	0.450308
315bd2cd	OBT:000010	0.518648
29911ee3	OBT:000065	0.507900
17c45a57	OBT:000000	0.371074
7a447c5d	OBT:002307	0.535251
3d57b228	OBT:000010	0.298357
59d59316	OBT:000000	0.462236
36823faf	OBT:000065	0.438371
1414800e	OBT:002133	0.376064
33225b82	OBT:001804	0.443817
42bc7ca2	OBT:000010	0.485171
41ee3c99	OBT:000065	0.402143
5f2cccc0	OBT:000065	0.497241
17a027a7	OBT:000065	0.524754
304175d6	OBT:000065	0.468515
3683407d	OBT:002133	0.350503
76745c61	OBT:000065	0.457941
3b606079	OBT:000056	0.471720
7b6bf8c1	OBT:002133	0.366021
62065a8c	OBT:000010	0.513246
48409124	OBT:000065	0.514796
31311d54	OBT:002133	0.500855
55b12c21	OBT:002133	0.350503
6ff6508e	OBT:002133	0.350503
5c61cfd0	OBT:000065	0.482228
35771602	OBT:000065	0.473482
169ddbb6	OBT:000953	0.412766
c2c1622	OBT:000065	0.586624
50bac431	OBT:002133	0.562710
6b9fd1	OBT:000065	0.525014
180b7842	OBT:002307	0.375217
f4c0c33	OBT:000065	0.563135
2c7c805f	OBT:000000	0.487657
3ad9012f	OBT:002187	0.285977
650ddfda	OBT:000010	0.563853
3bfd73e7	OBT:000065	0.586624
6d54bb1	OBT:000065	0.479722
2c73dfd0	OBT:000953	0.412766
30c9ab3f	OBT:002133	0.482326
4aaa6e62	OBT:000065	0.442006
54907471	OBT:000010	0.451337
52381b6e	OBT:002133	0.350503
2090d3d1	OBT:002307	0.535251
1dde2d1	OBT:000065	0.536503
75a46b	OBT:002146	0.439380
7d7a4740	OBT:002133	0.488385
6a00b08c	OBT:000065	0.441046
3ab815ab	OBT:001804	0.443817
4a61f876	OBT:000065	0.524754
256216b6	OBT:000035	0.387361
7f77a0d6	OBT:000010	0.298357
137efccc	OBT:002133	0.364300
679c93a0	OBT:000010	0.526240
4e9b4e98	OBT:002133	0.517441
4599f10c	OBT:000000	0.480385
2c1af4a6	OBT:002133	0.550848
7e4b55e4	OBT:000065	0.457941
26b6c4de	OBT:000065	0.477713
2ac974bc	OBT:001804	0.443817
7f0bd5ed	OBT:000953	0.412766
1425f44b	OBT:002133	0.551057
41cd4672	OBT:000010	0.533717
515f104c	OBT:000056	0.563004
